sheet_name,ratio,recall,precision,f1,accuracy,TP,FP,TN,FN
turma_1,1.0,0.9,0.45,0.6,0.7073170731707317,90,110,200,10
turma_1,0.75,0.91,0.455,0.6066666666666667,0.7121951219512195,91,109,201,9
turma_1,0.5,0.9,0.45,0.6,0.7073170731707317,90,110,200,10
turma_1,0.25,0.92,0.46,0.6133333333333333,0.7170731707317073,92,108,202,8
turma_2,1.0,1.0,0.7441860465116279,0.8533333333333333,0.872093023255814,320,110,430,0
turma_2,0.75,1.0,0.7441860465116279,0.8533333333333333,0.872093023255814,320,110,430,0
turma_2,0.5,1.0,0.7441860465116279,0.8533333333333333,0.872093023255814,320,110,430,0
turma_2,0.25,0.971875,0.7232558139534884,0.8293333333333334,0.8511627906976744,311,119,421,9
