sheet_name,ratio,recall,precision,f1,accuracy,TP,FP,TN,FN
turma_1,1.0,1.0,0.5,0.6666666666666666,0.7560975609756098,100,100,210,0
turma_1,0.75,0.91,0.455,0.6066666666666667,0.7121951219512195,91,109,201,9
turma_1,0.5,0.91,0.455,0.6066666666666667,0.7121951219512195,91,109,201,9
turma_1,0.25,0.94,0.47,0.6266666666666667,0.7268292682926829,94,106,204,6
turma_2,1.0,1.0,0.7441860465116279,0.8533333333333333,0.872093023255814,320,110,430,0
turma_2,0.75,0.996875,0.7418604651162791,0.8506666666666668,0.8697674418604651,319,111,429,1
turma_2,0.5,0.99375,0.7412587412587412,0.8491321762349799,0.8686046511627907,318,111,429,2
turma_2,0.25,0.975,0.7255813953488373,0.832,0.8534883720930233,312,118,422,8
