sheet_name,ratio,recall,precision,f1,accuracy,TP,FP,TN,FN
turma_1,1.0,1.0,0.5,0.6666666666666666,0.7560975609756098,100,100,210,0
turma_1,0.75,0.91,0.455,0.6066666666666667,0.7121951219512195,91,109,201,9
turma_1,0.5,0.9,0.45,0.6,0.7073170731707317,90,110,200,10
turma_1,0.25,0.89,0.4494949494949495,0.5973154362416108,0.7073170731707317,89,109,201,11
turma_2,1.0,1.0,0.7441860465116279,0.8533333333333333,0.872093023255814,320,110,430,0
turma_2,0.75,0.996875,0.7418604651162791,0.8506666666666668,0.8697674418604651,319,111,429,1
turma_2,0.5,0.99375,0.7395348837209302,0.848,0.8674418604651163,318,112,428,2
turma_2,0.25,0.9375,0.6976744186046512,0.8000000000000002,0.8255813953488372,300,130,410,20
