sheet_name,ratio,recall,precision,f1,accuracy,TP,FP,TN,FN
turma_1,1.0,1.0,0.5,0.6666666666666666,0.7560975609756098,100,100,210,0
turma_1,0.75,0.93,0.465,0.6200000000000001,0.7219512195121951,93,107,203,7
turma_1,0.5,0.95,0.475,0.6333333333333334,0.7317073170731707,95,105,205,5
turma_1,0.25,0.94,0.47,0.6266666666666667,0.7268292682926829,94,106,204,6
turma_2,1.0,0.96875,0.7209302325581395,0.8266666666666667,0.8488372093023255,310,120,420,10
turma_2,0.75,0.990625,0.7372093023255814,0.8453333333333333,0.8651162790697674,317,113,427,3
turma_2,0.5,0.990625,0.7372093023255814,0.8453333333333333,0.8651162790697674,317,113,427,3
turma_2,0.25,0.878125,0.6565420560747663,0.7513368983957219,0.7837209302325582,281,147,393,39
