dataset ,ratio_evaluation ,evaluation_method         ,feature_selection ,learner             ,accuracy           ,f1_score             ,precision           ,recall               ,top 1                        ,top 2                                  ,top 3                                  ,top 4                                  ,top 5                                    ,top 6                                    ,top 7                                    ,top 8                                    ,top 9                                    ,top 10
turma   ,            1.0  ,holdout (33/67)           ,anova (5)         ,naive_bayes         ,0.6206896551724138 ,0.45000000000000007  ,0.2903225806451613  ,1.0                  ,grades_between_7_5_10        ,grades_below_5                         ,grades_average                         ,grades_between_0_2_5                   ,grades_below_mean                        ,                                         ,                                         ,                                         ,                                         ,
turma   ,            1.0  ,holdout (33/67)           ,anova (5)         ,logistic_regression ,0.8448275862068966 ,0.64                 ,0.5                 ,0.8888888888888888   ,grades_between_7_5_10        ,grades_below_5                         ,grades_average                         ,grades_between_0_2_5                   ,grades_below_mean                        ,                                         ,                                         ,                                         ,                                         ,
turma   ,            1.0  ,holdout (33/67)           ,anova (5)         ,neural_network      ,0.85               ,0.6741573033707865   ,0.5084745762711864  ,1.0                  ,grades_between_7_5_10        ,grades_below_5                         ,grades_average                         ,grades_between_0_2_5                   ,grades_below_mean                        ,                                         ,                                         ,                                         ,                                         ,
turma   ,            1.0  ,holdout (33/67)           ,anova (5)         ,gradient_boosting   ,0.9086206896551724 ,0.7725321888412017   ,0.6293706293706294  ,1.0                  ,grades_between_7_5_10        ,grades_below_5                         ,grades_average                         ,grades_between_0_2_5                   ,grades_below_mean                        ,                                         ,                                         ,                                         ,                                         ,
turma   ,            1.0  ,holdout (33/67)           ,anova (5)         ,svm                 ,0.9137931034482759 ,0.782608695652174    ,0.6428571428571429  ,1.0                  ,grades_between_7_5_10        ,grades_below_5                         ,grades_average                         ,grades_between_0_2_5                   ,grades_below_mean                        ,                                         ,                                         ,                                         ,                                         ,
turma   ,            1.0  ,xvalidation (k=10)        ,anova (10)        ,random_forest       ,0.8272727272727273 ,0.39682539682539686  ,0.44642857142857145 ,0.35714285714285715  ,grades_below_5               ,grades_between_7_5_10                  ,grades_average                         ,grades_between_0_2_5                   ,grades_below_mean                        ,important_grades_below_mean              ,important_activities_complete_majority   ,important_activities_complete_minority   ,important_activities_incomplete          ,important_activities_incomplete_majority
turma   ,            1.0  ,xvalidation (k=10)        ,anova (10)        ,knn                 ,0.8238636363636364 ,0.4150943396226415   ,0.44                ,0.39285714285714285  ,grades_below_5               ,grades_between_7_5_10                  ,grades_average                         ,grades_between_0_2_5                   ,grades_below_mean                        ,important_grades_below_mean              ,important_activities_complete_majority   ,important_activities_complete_minority   ,important_activities_incomplete          ,important_activities_incomplete_majority
turma   ,            1.0  ,xvalidation (k=10)        ,anova (10)        ,tree                ,0.8238636363636364 ,0.3404255319148936   ,0.42105263157894735 ,0.2857142857142857   ,grades_below_5               ,grades_between_7_5_10                  ,grades_average                         ,grades_between_0_2_5                   ,grades_below_mean                        ,important_grades_below_mean              ,important_activities_complete_majority   ,important_activities_complete_minority   ,important_activities_incomplete          ,important_activities_incomplete_majority
turma   ,            1.0  ,xvalidation (k=10)        ,anova (10)        ,naive_bayes         ,0.7784090909090909 ,0.5411764705882353   ,0.40350877192982454 ,0.8214285714285714   ,grades_below_5               ,grades_between_7_5_10                  ,grades_average                         ,grades_between_0_2_5                   ,grades_below_mean                        ,important_grades_below_mean              ,important_activities_complete_majority   ,important_activities_complete_minority   ,important_activities_incomplete          ,important_activities_incomplete_majority
turma   ,            1.0  ,xvalidation (k=10)        ,anova (10)        ,logistic_regression ,0.8579545454545454 ,0.5762711864406779   ,0.5483870967741935  ,0.6071428571428571   ,grades_below_5               ,grades_between_7_5_10                  ,grades_average                         ,grades_between_0_2_5                   ,grades_below_mean                        ,important_grades_below_mean              ,important_activities_complete_majority   ,important_activities_complete_minority   ,important_activities_incomplete          ,important_activities_incomplete_majority
turma   ,            1.0  ,xvalidation (k=10)        ,anova (10)        ,neural_network      ,0.8232954545454545 ,0.24330900243309006  ,0.3816793893129771  ,0.17857142857142858  ,grades_below_5               ,grades_between_7_5_10                  ,grades_average                         ,grades_between_0_2_5                   ,grades_below_mean                        ,important_grades_below_mean              ,important_activities_complete_majority   ,important_activities_complete_minority   ,important_activities_incomplete          ,important_activities_incomplete_majority
