sheet_name ,ratio ,recall              ,precision           ,f1                 ,accuracy            ,TP  ,FP  ,TN  ,FN
turma_1    , 1.0  ,1.0                 ,0.6829268292682927  ,0.8115942028985507 ,0.8433734939759037  ,280 ,130 ,420 ,  0
turma_1    , 0.75 ,1.0                 ,0.6829268292682927  ,0.8115942028985507 ,0.8433734939759037  ,280 ,130 ,420 ,  0
turma_1    , 0.5  ,0.9928571428571429  ,0.6780487804878049  ,0.8057971014492753 ,0.8385542168674699  ,278 ,132 ,418 ,  2
turma_1    , 0.25 ,0.9678571428571429  ,0.6642156862745098  ,0.7877906976744186 ,0.8240963855421687  ,271 ,137 ,413 ,  9
turma_2    , 1.0  ,0.39285714285714285 ,0.2391304347826087  ,0.2972972972972973 ,0.44086021505376344 ,110 ,350 ,300 ,170
turma_2    , 0.75 ,0.3964285714285714  ,0.24130434782608695 ,0.3                ,0.443010752688172   ,111 ,349 ,301 ,169
turma_2    , 0.5  ,0.4035714285714286  ,0.24565217391304348 ,0.3054054054054054 ,0.44731182795698926 ,113 ,347 ,303 ,167
turma_2    , 0.25 ,0.39285714285714285 ,0.24017467248908297 ,0.2981029810298103 ,0.443010752688172   ,110 ,348 ,302 ,170
