sheet_name ,ratio ,recall              ,precision           ,f1                 ,accuracy            ,TP  ,FP  ,TN  ,FN
turma_1    , 1.0  ,1.0                 ,0.6829268292682927  ,0.8115942028985507 ,0.8433734939759037  ,280 ,130 ,420 ,  0
turma_1    , 0.75 ,1.0                 ,0.6829268292682927  ,0.8115942028985507 ,0.8433734939759037  ,280 ,130 ,420 ,  0
turma_1    , 0.5  ,0.9892857142857143  ,0.675609756097561   ,0.8028985507246377 ,0.8361445783132531  ,277 ,133 ,417 ,  3
turma_1    , 0.25 ,0.9392857142857143  ,0.6414634146341464  ,0.7623188405797101 ,0.8024096385542169  ,263 ,147 ,403 , 17
turma_2    , 1.0  ,0.39285714285714285 ,0.2391304347826087  ,0.2972972972972973 ,0.44086021505376344 ,110 ,350 ,300 ,170
turma_2    , 0.75 ,0.3964285714285714  ,0.24130434782608695 ,0.3                ,0.443010752688172   ,111 ,349 ,301 ,169
turma_2    , 0.5  ,0.40714285714285714 ,0.24782608695652175 ,0.3081081081081081 ,0.44946236559139785 ,114 ,346 ,304 ,166
turma_2    , 0.25 ,0.39285714285714285 ,0.24336283185840707 ,0.3005464480874317 ,0.44946236559139785 ,110 ,342 ,308 ,170
