sheet_name ,ratio ,recall              ,precision           ,f1                 ,accuracy           ,TP  ,FP  ,TN  ,FN
turma_1    , 1.0  ,0.8928571428571429  ,0.8928571428571429  ,0.8928571428571429 ,0.927710843373494  ,250 , 30 ,520 , 30
turma_1    , 0.75 ,0.8785714285714286  ,0.8785714285714286  ,0.8785714285714286 ,0.9180722891566265 ,246 , 34 ,516 , 34
turma_1    , 0.5  ,0.8571428571428571  ,0.8571428571428571  ,0.8571428571428571 ,0.9036144578313253 ,240 , 40 ,510 , 40
turma_1    , 0.25 ,0.7928571428571428  ,0.7789473684210526  ,0.7858407079646016 ,0.8542168674698796 ,222 , 63 ,487 , 58
turma_2    , 1.0  ,0.32142857142857145 ,0.2903225806451613  ,0.3050847457627119 ,0.5591397849462365 , 90 ,220 ,430 ,190
turma_2    , 0.75 ,0.2892857142857143  ,0.26129032258064516 ,0.2745762711864407 ,0.5397849462365591 , 81 ,229 ,421 ,199
turma_2    , 0.5  ,0.2857142857142857  ,0.25806451612903225 ,0.2711864406779661 ,0.5376344086021505 , 80 ,230 ,420 ,200
turma_2    , 0.25 ,0.2857142857142857  ,0.25806451612903225 ,0.2711864406779661 ,0.5376344086021505 , 80 ,230 ,420 ,200
