sheet_name ,ratio ,recall              ,precision           ,f1                  ,accuracy           ,TP  ,FP  ,TN  ,FN
turma_1    , 1.0  ,0.8928571428571429  ,0.8928571428571429  ,0.8928571428571429  ,0.927710843373494  ,250 , 30 ,520 , 30
turma_1    , 0.75 ,0.8857142857142857  ,0.8857142857142857  ,0.8857142857142857  ,0.9228915662650602 ,248 , 32 ,518 , 32
turma_1    , 0.5  ,0.85                ,0.85                ,0.85                ,0.8987951807228916 ,238 , 42 ,508 , 42
turma_1    , 0.25 ,0.8035714285714286  ,0.800711743772242   ,0.8021390374331551  ,0.8662650602409638 ,225 , 56 ,494 , 55
turma_2    , 1.0  ,0.32142857142857145 ,0.2903225806451613  ,0.3050847457627119  ,0.5591397849462365 , 90 ,220 ,430 ,190
turma_2    , 0.75 ,0.2892857142857143  ,0.26129032258064516 ,0.2745762711864407  ,0.5397849462365591 , 81 ,229 ,421 ,199
turma_2    , 0.5  ,0.28214285714285714 ,0.25483870967741934 ,0.2677966101694915  ,0.535483870967742  , 79 ,231 ,419 ,201
turma_2    , 0.25 ,0.28214285714285714 ,0.2523961661341853  ,0.26644182124789206 ,0.532258064516129  , 79 ,234 ,416 ,201
