sheet_name ,ratio ,recall              ,precision           ,f1                  ,accuracy           ,TP  ,FP  ,TN  ,FN
turma_1    , 1.0  ,0.8928571428571429  ,0.8928571428571429  ,0.8928571428571429  ,0.927710843373494  ,250 , 30 ,520 , 30
turma_1    , 0.75 ,0.8857142857142857  ,0.8857142857142857  ,0.8857142857142857  ,0.9228915662650602 ,248 , 32 ,518 , 32
turma_1    , 0.5  ,0.8964285714285715  ,0.8964285714285715  ,0.8964285714285714  ,0.9301204819277108 ,251 , 29 ,521 , 29
turma_1    , 0.25 ,0.825               ,0.825               ,0.825               ,0.8819277108433735 ,231 , 49 ,501 , 49
turma_2    , 1.0  ,0.32142857142857145 ,0.2903225806451613  ,0.3050847457627119  ,0.5591397849462365 , 90 ,220 ,430 ,190
turma_2    , 0.75 ,0.2857142857142857  ,0.25806451612903225 ,0.2711864406779661  ,0.5376344086021505 , 80 ,230 ,420 ,200
turma_2    , 0.5  ,0.2892857142857143  ,0.2604501607717042  ,0.2741116751269036  ,0.5387096774193548 , 81 ,230 ,420 ,199
turma_2    , 0.25 ,0.29642857142857143 ,0.267741935483871   ,0.28135593220338984 ,0.5440860215053763 , 83 ,227 ,423 ,197
